"filename", "language", "JSON", "JavaScript", "vue", "JSON with Comments", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\src\6\content.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\server\src\7\content.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\App.vue", "vue", 0, 0, 49, 0, 0, 0, 0, 0, 12, 61
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\Store.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 5, 5, 45
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\assets\main.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 6, 35
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\BackGrpimdStyles\Main.vue", "vue", 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\BackGrpimdStyles\Rain.vue", "vue", 0, 0, 83, 0, 0, 0, 0, 0, 5, 88
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\BackGrpimdStyles\ShadowCurtain.vue", "vue", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\BackgroundShow.vue", "vue", 0, 0, 64, 0, 0, 0, 0, 0, 5, 69
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Content\ContentMain.vue", "vue", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Content\ContentTop.vue", "vue", 0, 0, 228, 0, 0, 0, 0, 5, 34, 267
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\LeftTop.vue", "vue", 0, 0, 33, 0, 0, 0, 0, 4, 6, 43
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\Main.vue", "vue", 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\RightTop.vue", "vue", 0, 0, 145, 0, 0, 0, 0, 2, 23, 170
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\Slider.vue", "vue", 0, 0, 37, 0, 0, 0, 0, 0, 0, 37
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\ToolsPage\LogoMain.vue", "vue", 0, 0, 85, 0, 0, 0, 0, 0, 13, 98
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\ToolsPage\RightBottomMain\AiChat.vue", "vue", 0, 0, 267, 0, 0, 0, 0, 4, 38, 309
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\ToolsPage\RightBottomMain\Music.vue", "vue", 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\ToolsPage\RightBottomMain\Nav.vue", "vue", 0, 0, 321, 0, 0, 0, 0, 5, 21, 347
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\ToolsPage\RightBottomMain\RightBottomMain.vue", "vue", 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\ToolsPage\RightBottomMain\StyleList.vue", "vue", 0, 0, 118, 0, 0, 0, 0, 4, 14, 136
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\ToolsPage\RightBottomMain\Weather.vue", "vue", 0, 0, 322, 0, 0, 0, 0, 9, 48, 379
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\ToolsPage\RightTopMain.vue", "vue", 0, 0, 137, 0, 0, 0, 0, 2, 14, 153
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\ToolsPage\ToolsPageMain.vue", "vue", 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\Navigation\TurnPage.vue", "vue", 0, 0, 83, 0, 0, 0, 0, 1, 12, 96
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\TheFooter.vue", "vue", 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\WebCrawler\BiliBili.vue", "vue", 0, 0, 141, 0, 0, 0, 0, 0, 17, 158
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\components\WebCrawler\WebCrawlerMain.vue", "vue", 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\src\main.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\SharedDocuments\Projects\VueNotes\vue-project - 副本\vite.config.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 3, 21
"Total", "-", 2261, 262, 2320, 8, 29, 18, 18, 60, 364, 5340
